GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
530,684ETH,32829,13/10/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Borena,Miyo,Hidilola,3.73330,38.58330,2,BBC Monitoring,OLF attacks Ethiopian troops,0
530,685ETH,32830,14/10/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Borena,Miyo,Hidilola,3.73330,38.58330,2,BBC Monitoring,OLF attacks Ethiopian troops,2
530,686ETH,32831,14/10/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Borena,Miyo,Hidilola,3.73330,38.58330,2,BBC Monitoring,OLF attacks Ethiopian troops,2
530,687ETH,32832,15/10/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Liben,Dolo Odo,Dolo Odo,4.17860,42.05890,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,4
530,688ETH,32833,15/10/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Shabelle,Gode,Gode,6.02250,43.13028,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,3
530,689ETH,32834,15/10/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Fafan,Jijiga,Jijiga,9.35000,42.80000,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,10
530,690ETH,32835,16/10/2003,2003,1,Battle-No change of territory,Oromo Ethnic Militia (Ethiopia),,4,Somali Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Mirab Hararghe,Mieso,Bordode,9.23330,40.75000,2,BBC Monitoring,Clashes between Somali and Oromo ethnic groups,0
530,691ETH,32836,17/10/2003,2003,1,Battle-No change of territory,Oromo Ethnic Militia (Ethiopia),,4,Somali Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Mirab Hararghe,Mieso,Bordode,9.23330,40.75000,1,BBC Monitoring,Clashes between Somali and Oromo ethnic groups,0
530,692ETH,32837,18/10/2003,2003,1,Battle-No change of territory,Oromo Ethnic Militia (Ethiopia),,4,Somali Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Mirab Hararghe,Mieso,Bordode,9.23330,40.75000,1,BBC Monitoring,"Clashes between Somali and Oromo ethnic groups; about 18 people killed total, but no breakdown of death toll given",18
530,693ETH,32838,19/10/2003,2003,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Oromia,Misraq Shewa,Akaki,Kora,8.81667,38.90000,2,BBC Monitoring,ONLF attacks Ethiopian soldiers,1
