,index,EVENT_ID_NO_CNTY,Date,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
416,416,32580,5/15/2002,2002,3,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Fafan,Jijiga,Jijiga,9.35,42.8,2,"BBC Monitoring, 5/29/2002",ONLF claims to have killed 102 Ethiopian troops during May,102
417,417,32581,5/15/2002,2002,1,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Somalia),,7,17,Ethiopia,Oromia,Misraq Harerge,Kersa,Bulo Hawo,9.3667,41.7833,1,"AP, 5/15/2002","Ethiopian troops attack Somali town, force residents to flee",2
418,418,32582,5/18/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.22056,43.55722,2,"BBC Monitoring, 5/29/2002",ONLF attacks Ethiopian soldiers,36
419,419,32583,5/19/2002,2002,2,Violence against civilians,Civilians (Ethiopia),,7,Unidentified Armed Group (Ethiopia),,3,37,Ethiopia,Tigray,Debubawi,Alamata,Waja,12.285,39.6022,1,"BBC Monitoring, 5/23/2002",Unknown rebel group attacks government official's home,0
420,420,32584,5/22/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Somali,Siti,Erer,Harerge,9.5,41.5,2,"BBC Monitoring, 5/29/2002",OLF attacks Ethiopian troops,0
421,421,32585,5/22/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Somali,Siti,Erer,Harerge,9.5,41.5,2,"BBC Monitoring, 5/29/2002",OLF attacks Ethiopian troops,0
422,422,32586,5/22/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Somali,Fafan,Kebribeyah,Karura,9.05,43.3167,1,"BBC Monitoring, 5/29/2002",OLF attacks Ethiopian troops,0
423,423,32587,5/23/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Somali,Siti,Erer,Harerge,9.5,41.5,2,"BBC Monitoring, 5/29/2002",OLF attacks Ethiopian troops,0
424,424,32588,5/23/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Somali,Siti,Erer,Harerge,9.5,41.5,2,"BBC Monitoring, 5/29/2002",OLF attacks Ethiopian troops,0
425,425,32589,5/23/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Somali,Fafan,Kebribeyah,Karura,9.05,43.3167,1,"BBC Monitoring, 5/29/2002",OLF attacks Ethiopian troops,0
426,426,32590,5/24/2002,2002,1,Violence against civilians,Police Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),Sidama Ethnic Group (Ethiopia); Protesters (Ethiopia),7,17,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Awasa,Awasa,7.05,38.4667,1,Agence France Presse,Police kill civilians and protesters,26
427,427,32591,5/27/2002,2002,1,Violence against civilians,Civilians (Ethiopia),,7,Military Forces of Ethiopia (1991-),,1,17,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Awasa,Awasa,7.05,38.4667,1,"Factiva - Reuters, BBC Monitoring","Nealry 3,000 people protested and 17 people died.",17
428,428,32592,5/27/2002,2002,1,Violence against civilians,Civilians (Ethiopia),,7,Police Forces of Ethiopia (1991-),,1,17,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Awasa,Awasa,7.05,38.4667,1,"Factiva - Reuters, BBC Monitoring","Nealry 3,000 people protested and 17 people died.",17
429,429,32593,5/29/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,SLF: Sidama Liberation Front,,3,13,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Awasa,Awasa,7.05,38.4667,1,Factiva - BBC Monitoring Africa,250 people have been killed in fighting between the SLF and the Ethiopian Army.,125
430,430,32594,5/29/2002,2002,1,Battle-No change of territory,Sidama Ethnic Militia (Ethiopia),Wolayeta Ethnic Militia (Ethiopia),4,Military Forces of Ethiopia (1991-),,1,14,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Awasa,Awasa,7.05,38.4667,1,Factiva - BBC Monitoring Africa,"Fighting between the EDF and Sidama and Wolayeta Tribe members, in the town of Leko.",0
431,431,32595,5/29/2002,2002,1,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Awasa,Awasa,7.05,38.4667,1,Factiva - BBC Monitoring Africa,250 people have been killed in fighting between the SLF and the Ethiopian Army. This fighting has led to violence by the EDF against civilians accoding to SLF sources.,125
432,432,32596,6/6/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,TPDM: Tigray People's Democratic Movement,,3,13,Ethiopia,Amhara,North Shewa,Assagirt,Adebay,9.4167,39.6167,1,"BBC Monitoring, 6/23/2002",TPDM battle Ethiopian troops,9
433,433,32597,6/6/2002,2002,2,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,Tigray,Mehakelegnaw,Adwa,Mado Cadra,14.16667,38.8333,2,"BBC Monitoring, 6/23/2002",Ethiopian troops attacking civilians in retaliation for rebel activity,0
434,434,32598,6/6/2002,2002,2,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,Amhara,North Shewa,Assagirt,Adebay,9.4167,39.6167,1,"BBC Monitoring, 6/23/2002",Ethiopian troops attacking civilians in retaliation for rebel activity,0
435,435,32599,6/6/2002,2002,2,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,Tigray,Miirabawi,Kafta Humera,Himora,14.29059,36.60808,1,"BBC Monitoring, 6/23/2002",Ethiopian troops attacking civilians in retaliation for rebel activity,0
436,436,32600,6/9/2002,2002,1,Battle-No change of territory,Unidentified Armed Group (Ethiopia),,3,Military Forces of Ethiopia (1991-),,1,13,Ethiopia,Amhara,Mirab Gojjam,Bahir Dar Zuria,Bahir Dar,11.6,37.3833,1,"BBC Monitoring, 6/10/2002",Security forces kill two hijackers,2
437,437,32601,6/9/2002,2002,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Amhara,Mirab Gojjam,Bahir Dar Zuria,Bahir Dar,11.6,37.3833,1,"BBC Monitoring, 6/10/2002","Unidenitifed group attempts to hijack plane, attacks passengers and crew",0
438,438,32602,6/11/2002,2002,1,Riots/Protests,Rioters (Ethiopia),,5,,,0,50,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Awasa,Awasa,7.05,38.4667,1,Human Rights Watch,38 farmers have been killed in riots in Awasa. These figures reported by HRN are higher than the official ones released by the Ethiopian government.,19
439,439,32603,6/11/2002,2002,1,Riots/Protests,Rioters (Ethiopia),,5,Police Forces of Ethiopia (1991-),,1,15,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Awasa,Awasa,7.05,38.4667,1,Human Rights Watch,38 farmers have been killed in riots in Awasa. These figures reported by HRN are higher than the official ones released by the Ethiopian government.,19
440,440,32604,6/15/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Korahe,Kebridehar,Kebri Dehar,6.74,44.27806,2,"BBC Monitoring, 6/26/2002",ONLF attacks Ethiopian soldiers,8
441,441,32605,6/18/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Gambela Peoples,Agnuak,Abobo,Abobo,7.85,34.55,1,"Reuters, 7/4/2002",Ethiopian troops attack OLF,20
442,442,32606,6/18/2002,2002,2,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,1,Factiva - Dow Jones Newswire,In the week to the 29-06-02 227 EDF soldiers have reportedly been killed by the OLF. No independent confirmation.,227
443,443,32607,6/19/2002,2002,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.22056,43.55722,2,"BBC Monitoring, 6/26/2002",ONLF attacks Ethiopian soldiers,23
