,index,EVENT_ID_NO_CNTY,Date,YEAR,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
0,0,32164,1/15/1997,1997,3,Strategic development,SPLA/M: Sudanese People's Liberation Army/Movement,,2,,,0,20,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,1,The Guardian,"SPLA allowed to set up bases and move unhindered through Ethiopian territory; rebels continue to insist that Ethiopian government not involved in the fighting, however.",0
1,1,32165,2/10/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),Civilians (International),7,37,Ethiopia,Harari People,Hareri,Harar,Harar,9.3167,42.1167,1,Reuters,Grenade attack by unknown attackers wounds foreign tourists and Ethiopians,2
2,2,32166,2/15/1997,1997,3,Headquarters or base established,SPLA/M: Sudanese People's Liberation Army/Movement,,2,,,0,20,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,1,All Africa,SPLA maintain office and base in Gambella,0
3,3,32167,3/21/1997,1997,1,Violence against civilians,Police Forces of Ethiopia (1991-),,1,Protesters (Ethiopia),,6,16,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,BBC Monitoring,Students stage demonstration; security forces use violence and illegal detention towards the protesters,0
4,4,32168,3/30/1997,1997,1,Riots/Protests,Protesters (Ethiopia),,6,,,0,60,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,BBC Monitoring,Opposition groups stage protest over land redistribution in Amhara regional state,0
5,5,32169,4/12/1997,1997,1,Remote violence,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,BBC Monitoring,"Explosion at Tigray hotel leaves one dead, many injured",1
6,6,32170,4/12/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (International),Civilians (Ethiopia),7,37,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,BBC Monitoring,Grenade attack at expensive Italian restaurant,0
7,7,32171,4/14/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,Reuters,Grenade attack wounds civilians in supermarket,0
8,8,32172,4/26/1997,1997,1,Remote violence,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Dire Dawa,Dire Dawa,Dire Dawa,Dire Dawa,9.5833,41.8667,1,Reuters,Bomb attack in bar leaves 11 injured; unknown perpetrators,0
9,9,32173,5/8/1997,1997,1,Violence against civilians,Police Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,Reuters,Police kill civilian and claim he was involved in violent underground group; human rights groups claim he was innocent,1
10,10,32174,5/15/1997,1997,1,Violence against civilians,Christian Militia (Ethiopia),,4,Civilians (Ethiopia),,7,47,Ethiopia,"Southern Nations, Nationalities and Peoples",Gamo Gofa,Arba Minch Zuria,Arba Minch,6.03333,37.55,1,Reuters,A number of evangelical Christians killed by Orthodox Christians,0
11,11,32175,6/12/1997,1997,1,Battle-Government regains territory,Military Forces of Ethiopia (1991-),SNF: Somali National Front,1,AIAI: Al-Itihad Al-Islamia,,2,12,Ethiopia,Oromia,Misraq Harerge,Kersa,Bulo Hawo,9.3667,41.7833,1,BBC Monitoring,"Ethiopian military attacks Somali districts, takes them over from Somali National Front",0
12,12,32176,6/12/1997,1997,1,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Somalia),,7,17,Ethiopia,Oromia,Misraq Harerge,Kersa,Bulo Hawo,9.3667,41.7833,1,BBC Monitoring,"Ethiopian military attacks Somali districts, takes them over; Somali National Front alleges that the Ethiopian troops attacked and killed women and children",16
13,13,32177,6/30/1997,1997,1,Battle-No change of territory,Turkana Ethnic Militia (Kenya),,4,Geleb Ethnic Militia (Ethiopia),Merrile Ethnic Militia (Kenya),4,44,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Awasa,Awasa,7.05,38.46667,1,Reuters News,24 Kenyan tribesmen were killed in a revenge attack on an Ethiopian tribe.,24
14,14,32178,6/30/1997,1997,1,Battle-No change of territory,Turkana Ethnic Militia (Kenya),,4,Merrile Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Borena,Moyale,Moyale,3.56917,39.08333,2,Reuters,"Merille launch counter-attack, kill Kenyan Turkana raiders",24
15,15,32179,6/30/1997,1997,1,Violence against civilians,Turkana Ethnic Militia (Kenya),,4,Civilians (Ethiopia),Merrile Ethnic Group (Ethiopia),7,47,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Awasa,Awasa,7.05,38.4667,2,Reuters,"Turkana raiders attack Merrile camp, kill women and children",0
16,16,32180,7/15/1997,1997,3,Battle-No change of territory,Police Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Mirab Shewa,Toke Kutaye,Jeldu,9.0167,37.6667,1,BBC Monitoring,OLF attacks village and kills police officers,2
17,17,32181,8/7/1997,1997,1,Remote violence,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Harari People,Hareri,Harar,Harar,9.3167,42.1167,1,BBC Monitoring,Bomb attack by unknown persons,0
18,18,32182,9/19/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.22056,43.55722,1,Reuters,Gunmen kill two UN World Food Programme workers,2
19,19,32183,9/26/1997,1997,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,BBC Monitoring,Grenade attack by unknown person,1
20,20,32184,10/8/1997,1997,1,Battle-No change of territory,Police Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,BBC Monitoring,Police claim they have killed OLF rebels in shoot-out; human rights groups claim the men were unarmed and killed by the police. This is coded as two distinct codes because the claims from either side could not be verified,3
21,21,32185,10/8/1997,1997,1,Violence against civilians,Police Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),Oromo Ethnic Group (Ethiopia),7,17,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,BBC Monitoring,Police claim they have killed OLF rebels in shoot-out; human rights groups claim the men were unarmed and killed by the police. This is coded as two distinct codes because the claims from either side could not be verified,3
22,22,32186,2/24/1998,1998,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Oromia,Mirab Shewa,Ambo Zuria,Ambo,8.9833,37.85,1,BBC Monitoring,Grenade attack by unknown person or group,1
23,23,32187,4/15/1998,1998,3,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Jarar,Gashamo,Somali,8,45,2,BBC Monitoring,"ONLF battles Ethiopian forces, claims major victories",0
24,24,32188,4/15/1998,1998,3,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Oromia,North Shewa,Wuchale,Weji,9.51667,38.78333,1,BBC Monitoring,"ONLF battles Ethiopian forces, claims major victories",0
25,25,32189,4/15/1998,1998,3,Violence against civilians,Christian Militia (Ethiopia),,4,Civilians (Ethiopia),Jewish Group (Ethiopia),7,47,Ethiopia,Amhara,Semen Gondar,Gonder Zuria,Gonder,12.6,37.4667,2,The Guardian,Reports of Christians attacking Jewish neighbors in Gondar region of Ethiopia,1
26,26,32190,4/25/1998,1998,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Amhara,Misraq Gojjam,Enemay,Bichena,10.45,38.2,2,All Africa,Grenade attack by unknown person or group,4
27,27,32191,5/5/1998,1998,1,Violence against civilians,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Oromia,North Shewa,Kuyu,Gebre Guracha,9.8,38.4,1,All Africa,Grenade attack by unknown person or group,2
28,28,32192,5/6/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Afar,Afar Zone 1,Elidar,Shelalo,12.36,42.16,1,Reuters,Battle between Ethiopian and Eritrean troops; both sides claim the other started the confrontation,0
29,29,32193,5/12/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Semien Miirabaw,Tahtay Adiyabo,Sheraro,14.4,37.9333,1,Reuters,Battle between Ethiopian and Eritrean troops; both sides claim the other started the confrontation,0
30,30,32194,5/12/1998,1998,1,Violence against civilians,Civilians (Ethiopia),,7,Military Forces of Eritrea (1993-),,8,78,Ethiopia,Tigray,Semien Miirabaw,Tahtay Adiyabo,Sheraro,14.4,37.9333,1,Reuters,Ethiopian civilians killed in Eritrean offensive,15
31,31,32195,5/15/1998,1998,3,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Somali,Jarar,Gashamo,Somali,8,45,2,BBC Monitoring,"ONLF battles Ethiopian forces, claims major victories",87
32,32,32196,5/15/1998,1998,3,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,ONLF: Ogaden National Liberation Front,,2,12,Ethiopia,Oromia,North Shewa,Wuchale,Weji,9.51667,38.78333,1,BBC Monitoring,"ONLF battles Ethiopian forces, claims major victories",0
33,33,32197,5/31/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Erob,Alitena,14.52728,39.56817,1,PANA Newswires/All Africa,"Eritrea makes incursion onto Ethiopian soil, skirmish ensues",0
34,34,32198,5/31/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Gulomekeda,Zela Ambesa,14.52194,39.385,1,PANA Newswires/All Africa,"Eritrea makes incursion onto Ethiopian soil, skirmish ensues",0
35,35,32199,6/2/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Gulomekeda,Zela Ambesa,14.52194,39.385,1,Associated Press,"Eritrea attacks Ethiopian town of Zalambesa, capture the town after three days of fighting",0
36,36,32200,6/3/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Gulomekeda,Zela Ambesa,14.52194,39.385,1,Associated Press,"Eritrea attacks Ethiopian town of Zalambesa, capture the town after three days of fighting",0
37,37,32201,6/3/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Erob,Alitena,14.52728,39.56817,1,Xinhua,Ethiopia claims to repel Eritrean attacks,0
38,38,32202,6/3/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Maekel,Senafe,,Geleba,14.50222,39.36694,1,BBC Monitoring,Ethiopian military launches attack on Eritrean soil,0
39,39,32203,6/4/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Gulomekeda,Zela Ambesa,14.52194,39.385,1,Associated Press,"Eritrea attacks Ethiopian town of Zalambesa, capture the town after three days of fighting",0
40,40,32204,6/5/1998,1998,1,Remote violence,Civilians (Ethiopia),,7,Military Forces of Eritrea (1993-),,8,78,Ethiopia,Tigray,Debubawi,Enderta,Mekele,13.5,39.4667,1,PANA Newswires/All Africa,Eritrean forces bomb villagers,0
41,41,32205,6/6/1998,1998,1,Remote violence,Civilians (Ethiopia),,7,Military Forces of Eritrea (1993-),,8,78,Ethiopia,Tigray,Debubawi,Enderta,Mekele,13.5,39.4667,1,PANA Newswires/All Africa,Eritrean forces bomb villagers,51
42,42,32206,6/6/1998,1998,1,Remote violence,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Debubawi,Enderta,Mekele,13.5,39.4667,1,Reuters,Ethiopian forces shoot down Eritrean warplane,0
43,43,32207,6/9/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Gulomekeda,Zela Ambesa,14.52194,39.385,1,BBC Monitoring,Ethiopian military exchanges fire with Eritrean forces,0
44,44,32208,6/11/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Afar,Zone 1,Elidar,Burie,12.59889,42.27028,1,BBC Monitoring,Ethiopian military exchanges fire with Eritrean forces,600
45,45,32209,6/11/1998,1998,1,Remote violence,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Ganta Afeshum,Adigrat,14.2769,39.4608,1,BBC Monitoring,Eritrean forces bomb Ethiopian military targets,0
46,46,32210,6/11/1998,1998,1,Remote violence,Civilians (Ethiopia),,7,Military Forces of Eritrea (1993-),,8,78,Ethiopia,Tigray,Misraqawi,Ganta Afeshum,Adigrat,14.2769,39.4608,1,The Guardian,Eritrean forces bomb villagers,4
47,47,32211,6/15/1998,1998,3,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Eritrea),,7,17,Ethiopia,Oromia,Debub Mirab Shewa,Alem Gena,Fiche,8.967,38.6,1,Reuters,"Ethiopian forces detain Eritreans, reports of beatings and assaults in internment camps",0
48,48,32212,6/19/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Gulomekeda,Zela Ambesa,14.52194,39.385,1,Reuters,Heavy exchange of fire between Ethiopian and Eritrean forces,0
49,49,32213,6/20/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Gulomekeda,Zela Ambesa,14.52194,39.385,1,Reuters,Heavy exchange of fire between Ethiopian and Eritrean forces,0
50,50,32214,6/24/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Gulomekeda,Zela Ambesa,14.52194,39.385,1,All Africa,Brief exchange of fire between Ethiopian and Eritrean forces,0
51,51,32215,6/30/1998,1998,2,Violence against civilians,Civilians (Ethiopia),Civilians (International),7,AIAI: Al-Itihad Al-Islamia,,2,27,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.22056,43.55722,2,All Africa,ICRC workers kidnapped in Ogaden area,0
52,52,32216,7/6/1998,1998,2,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Ethiopia,Oromia,Borena,Moyale,Moyale,3.56917,39.08333,2,All Africa,OLF said to be active in Kenya near border with Ethiopia,0
53,53,32217,7/7/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,AIAI: Al-Itihad Al-Islamia,,2,12,Ethiopia,Somali,Korahe,Shekosh,Shekosh,7.36667,43.91667,1,All Africa,Ethiopian army battles Al-Ittihad militia in effort to free hostages,0
54,54,32218,7/15/1998,1998,3,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Eritrea),,7,17,Ethiopia,Tigray,Mehakelegnaw,Adwa,Tigray,14.16667,38.83333,2,All Africa,Eritrea accuses Ethiopia of killing civilian cattle breeders who entered Ethiopia from Eritrea and Sudan,18
55,55,32219,7/22/1998,1998,1,Battle-No change of territory,Guji Ethnic Militia (Ethiopia),,4,Hadyia Ethnic Militia (Ethiopia),,4,44,Ethiopia,Oromia,Mirab Welega,Jarso,Dilla,9.3,35.23333,1,Reuters,Ethnic clashes leave over 100 dead,140
56,56,32220,7/31/1998,1998,1,Riots/Protests,Protesters (Ethiopia),,6,,,0,60,Ethiopia,Addis Abeba,Addis Abeba,Kolfe - Keran,Addis Ababa,9.03333,38.7,1,Reuters,Hundreds of thousands of women stage protests to support peace plan across Ethiopia,0
57,57,32221,9/15/1998,1998,3,Strategic development,SPLA/M: Sudanese People's Liberation Army/Movement,,2,,,0,20,Ethiopia,Gambela Peoples,Agnuak,Gambela Zuria,Gambella,8.25,34.5833,1,All Africa,SPLA maintain office and base in Gambella; Ethiopian authorities announce they will close the office in October,0
58,58,32222,10/2/1998,1998,1,Battle-No change of territory,Christian Militia (Ethiopia),,4,Orthodox Christian Militia (Ethiopia),,4,44,Ethiopia,Oromia,Jimma,Goma,Agaro,7.85,36.65,1,All Africa,Clash between Evangelical and Orthodox Christian groups,0
59,59,32223,10/7/1998,1998,2,Remote violence,Civilians (Ethiopia),,7,Military Forces of Eritrea (1993-),,8,78,Ethiopia,Tigray,Semien Miirabaw,Tahtay Adiyabo,Sheraro,14.4,37.9333,1,Reuters,Ethiopia accuses Eritrea of shelling civilian targets,11
60,60,32224,10/8/1998,1998,1,Violence against civilians,Southern Sudan Independence Movement Militia,,3,Civilians (Ethiopia),,7,37,Ethiopia,Gambela Peoples,Agnuak,Itang,Itang,8.2,34.2667,1,All Africa,Soldiers from Sudanese Independence Movement attack passenger car and kill civilians,2
61,61,32225,10/15/1998,1998,3,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Ethiopia,Oromia,Misraq Harerge,Babile,Babile,9.2167,42.3333,1,All Africa,OLF said to be active in eastern region of Ethiopia,0
62,62,32226,10/15/1998,1998,3,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Ethiopia,Oromia,Misraq Harerge,Fedis,Fedis,9.13944,42.04806,1,All Africa,OLF said to be active in eastern region of Ethiopia,0
63,63,32227,10/15/1998,1998,3,Strategic development,OLF: Oromo Liberation Front,,2,,,0,20,Ethiopia,Oromia,Misraq Harerge,Kombolcha,Kombolcha,9.43333,42.11861,1,All Africa,OLF said to be active in eastern region of Ethiopia,0
64,64,32228,10/21/1998,1998,1,Violence against civilians,Civilians (Ethiopia),,7,Unidentified Armed Group (Ethiopia),,3,37,Ethiopia,Oromia,Misraq Harerge,Babile,Babile,9.2167,42.3333,1,Reuters,"Unknown armed group attacks passenger buses, kills civilians",13
65,65,32229,10/22/1998,1998,2,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,"Southern Nations, Nationalities and Peoples",Gamo Gofa,Geze Gofa,Kencho,6.35,36.85,1,All Africa,Security forces attack peasants after peasants protest language of instruction in schools,0
66,66,32230,10/22/1998,1998,2,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,Oromia,Jimma,Omo Nada,Omo,7.63333,37.25,2,All Africa,Security forces attack peasants after peasants protest language of instruction in schools,0
67,67,32231,10/23/1998,1998,2,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,"Southern Nations, Nationalities and Peoples",Gamo Gofa,Geze Gofa,Kencho,6.35,36.85,1,All Africa,Security forces attack peasants after peasants protest language of instruction in schools,0
68,68,32232,10/23/1998,1998,2,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,Oromia,Jimma,Omo Nada,Omo,7.63333,37.25,2,All Africa,Security forces attack peasants after peasants protest language of instruction in schools,0
69,69,32233,10/24/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Gulomekeda,Zela Ambesa,14.52194,39.385,1,Reuters,Ethiopian military attacks Eritrean military positions,0
70,70,32234,10/24/1998,1998,1,Remote violence,Military Forces of Ethiopia (1991-),,1,Civilians (Eritrea),,7,17,Ethiopia,Tigray,Misraqawi,Gulomekeda,Zela Ambesa,14.52194,39.385,1,Reuters,Eritrean civilians killed in Ethiopian shelling,2
71,71,32235,10/24/1998,1998,2,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,"Southern Nations, Nationalities and Peoples",Gamo Gofa,Geze Gofa,Kencho,6.35,36.85,1,All Africa,Security forces attack peasants after peasants protest language of instruction in schools,0
72,72,32236,10/24/1998,1998,2,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Ethiopia),,7,17,Ethiopia,Oromia,Jimma,Omo Nada,Omo,7.63333,37.25,2,All Africa,Security forces attack peasants after peasants protest language of instruction in schools,0
73,73,32237,11/4/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Ganta Afeshum,Adigrat,14.2769,39.4608,1,All Africa,Eritrean military attacks Ethiopian military positions,0
74,74,32238,11/4/1998,1998,1,Remote violence,Civilians (Ethiopia),,7,Military Forces of Eritrea (1993-),,8,78,Ethiopia,Tigray,Misraqawi,Ganta Afeshum,Adigrat,14.2769,39.4608,1,Reuters,Ethiopia accuses Eritrea of shelling civilian targets,1
75,75,32239,11/11/1998,1998,2,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Ganta Afeshum,Adigrat,14.2769,39.4608,1,Associated Press,Exchange of fire between Ethiopian and Eritrean troops,0
76,76,32240,11/13/1998,1998,2,Strategic development,ONLF: Ogaden National Liberation Front,AIAI: Al-Itihad Al-Islamia,2,,,0,20,Ethiopia,Somali,Jarar,Degehabur,Degeh Bur,8.22056,43.55722,1,All Africa,Reports that ONLF and AIAI: Al-Itihad Al-Islamia militia members surrender to Ethiopian authorities. They had previously been active in these regions,0
77,77,32241,11/15/1998,1998,3,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Eritrea),,7,17,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Boricha,Bilate,6.78333,38.1,1,BBC Monitoring,Three Eritreans who had been detained died under suspicious circumstances in Ethiopian detention camp,3
78,78,32242,11/18/1998,1998,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Ganta Afeshum,Adigrat,14.2769,39.4608,1,Associated Press,Exchange of fire between Ethiopian and Eritrean troops,0
79,79,32243,11/22/1998,1998,2,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Erob,Asimba Mountain,14.44583,39.61278,1,All Africa,Ethiopian military attacks Eritrean military positions,0
80,80,32244,12/15/1998,1998,3,Violence against civilians,Military Forces of Ethiopia (1991-),,1,Civilians (Eritrea),,7,17,Ethiopia,"Southern Nations, Nationalities and Peoples",Sidama,Boricha,Bilate,6.78333,38.1,1,BBC Monitoring,Two Eritreans who had been illegally detained died under suspicious circumstances in Ethiopian detention camp,2
81,81,32245,12/28/1998,1998,1,Remote violence,Unidentified Armed Group (Ethiopia),,3,Civilians (Ethiopia),,7,37,Ethiopia,Dire Dawa,Dire Dawa,Dire Dawa,Dire Dawa,9.5833,41.8667,1,BBC Monitoring,"Man dies while detonating bomb in Dire Dawa, many civilians injured",1
82,82,32246,1/11/1999,1999,1,Violence against civilians,Civilians (Ethiopia),Afar Ethnic Group (Eritrea),7,Military Forces of Eritrea (1993-),,8,78,Ethiopia,Somali,Liben,Dolo Odo,Afar Dogut,4.4833,41.0333,2,BBC Monitoring,Eritrean military accused of killing Ethiopian Afars who refuse to join their army,15
83,83,32247,1/15/1999,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Arsi,Ziway Dugda,Oromiya,8,39,2,BBC Monitoring,OLF claims victory in battle with Ethiopian military,62
84,84,32248,1/17/1999,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,OLF: Oromo Liberation Front,,2,12,Ethiopia,Oromia,Borena,Moyale,Moyale,3.56917,39.08333,2,BBC Monitoring,OLF and Ethiopian forces battle in northern Kenya,18
85,85,32249,2/2/1999,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Gulomekeda,Zela Ambesa,14.52194,39.385,2,"Infantry FINF Vol. 89, Issue 2","Ethiopia claims Eritrean forces attacked their positions. Both sides had lost 70,000 men before the June fighting; they have since lost at least 30,000 more, of which most were Eritrean (AF confidential total for these next months overall casualties)",1369
86,86,32250,2/5/1999,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Ganta Afeshum,Adigrat,14.2769,39.4608,1,"Infantry FINF Vol. 89, Issue 2","Ethiopia claims Eritrean forces attacked their positions.Both sides had lost 70,000 men before the June fighting; they have since lost at least 30,000 more, of which most were Eritrean (AF confidential total for these next months overall casualties)",1369
87,87,32251,2/6/1999,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Debubawi,Saharti Samre,Geza,13.39335,39.16891,1,Reuters,"Ethiopia claims Eritrean forces attacked their positions.Both sides had lost 70,000 men before the June fighting; they have since lost at least 30,000 more, of which most were Eritrean (AF confidential total for these next months overall casualties)",1369
88,88,32252,2/7/1999,1999,1,Violence against civilians,Civilians (Ethiopia),,7,Military Forces of Eritrea (1993-),,8,78,Ethiopia,Tigray,Misraqawi,Ganta Afeshum,Adigrat,14.2769,39.4608,1,"Infantry FINF Vol. 89, Issue 2","Ethiopia claims Eritrean forces attacked their positions.Both sides had lost 70,000 men before the June fighting; they have since lost at least 30,000 more, of which most were Eritrean (AF confidential total for these next months overall casualties)",1369
89,89,32253,2/8/1999,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Erob,Alitena,14.52728,39.56817,1,Reuters,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties, using Af Con 100,000 as a total for these time periods",1369
90,90,32254,2/8/1999,1999,1,Battle-No change of territory,Military Forces of Ethiopia (1991-),,1,Military Forces of Eritrea (1993-),,8,18,Ethiopia,Tigray,Misraqawi,Gulomekeda,Zela Ambesa,14.52194,39.385,1,Reuters,"Ethiopian and Eritrean forces battle in border war; both sides make unverifiable claims about casualties, using Af Con 100,000 as a total for these time periods",1369
